,id,lat,lon,label
0,8001,36.5449685,140.33305869999998,10
1,8002,36.655857399999995,140.2800036,10
2,8003,36.70574620000001,140.5096817,10
3,8004,36.102676,139.795303,7
4,8005,36.7685851,140.35923469999997,10
5,8006,36.2158407,139.98659619999998,7
6,8007,36.096394200000006,140.4037633,1
7,8008,35.9461322,140.58924480000002,1
8,8009,36.09527670000001,139.75833169999999,7
9,8010,36.191431,139.78973200000001,7
10,8011,36.4923537,140.6151942,10
11,8012,36.5969609,140.4096155,10
12,8013,36.5103878,140.5254761,10
13,9001,36.527825899999996,140.1728576,10
14,9002,36.3673361,139.96499599999999,7
15,9003,36.955796899999996,139.8993301,5
16,9004,37.0415321,140.01370359999999,5
17,9005,37.000375,139.984479,5
18,9006,36.7476018,140.14987150000002,5
19,9007,36.9540486,140.15741200000002,5
20,9008,36.7154994,140.0326363,5
21,9009,36.343804399999996,139.57207350000002,7
22,9010,36.55238129999999,140.05819619999997,10
23,9011,36.8630177,140.0873784,5
24,9012,36.899706,139.96913899999998,5
25,9013,36.296714,139.625248,7
26,9014,36.3081818,139.76074609999998,7
27,9015,36.930014,139.686957,5
28,9016,36.4552686,139.8069587,7
29,9017,36.4666875,139.7431798,7
30,9018,36.3972222,139.8837638,7
31,9019,36.805614,139.9216154,5
32,9020,36.7646574,139.7814069,5
33,9021,36.633390999999996,139.83131269999998,5
34,9022,36.543766,140.10118,10
35,9023,36.72453076,139.68788759999998,5
36,9024,36.431168,140.071976,10
37,10001,36.080532,138.784106,4
38,10002,36.4590603,139.136429,2
39,10003,36.607483,138.63861799999998,8
40,10004,36.548113799999996,138.9528062,2
41,10005,36.143092700000004,139.04034860000002,4
42,10006,36.687042100000006,139.1073011,2
43,10007,36.7645152,138.96767,2
44,10008,36.661697600000004,139.12003130000002,2
45,10009,36.614528,138.590048,8
46,10010,36.491184000000004,139.27199119999997,2
47,10011,36.272136200000006,139.07164430000003,4
48,10012,36.5151403,139.01636269999997,2
49,10013,36.6976003,138.9812566,2
50,10014,36.2996438,138.765967,4
51,10015,36.1092423,138.8978301,4
52,10016,36.224035799999996,138.8020175,4
53,10017,36.5525594,139.3728487,2
54,10018,36.69608,138.90834980000002,2
55,10019,36.6089289,138.8297562,2
56,10020,36.4413405,139.03516399999998,2
57,10021,36.423695200000004,139.1284555,2
58,10022,36.23374929999999,138.9166528,4
59,10023,36.612775,139.06893530000002,2
60,10024,36.1782734,138.74170790000002,4
61,10025,36.4693828,139.09423859999998,2
62,10026,36.2646406,139.2964207,4
63,10027,36.5475134,138.68427309999998,2
64,10028,36.622497499999994,138.95425669999997,2
65,10029,36.42451079999999,138.7931396,2
66,10030,36.570479999999996,138.73568999999998,2
67,10031,36.30833423,139.0945846,4
68,10032,36.773231,139.225238,2
69,11001,35.9544145,139.0126336,4
70,11002,36.0523844,139.2811686,4
71,11003,35.848019,139.765769,7
72,11004,35.9503803,138.93819950000002,4
73,11005,36.2185243,139.24127969999998,4
74,11006,36.0490086,139.0401091,4
75,11007,36.170307,139.6451589,7
76,11008,36.1218906,139.227294,4
77,11009,36.0047724,138.9709644,4
78,11010,36.1515097,139.2890291,4
79,11011,36.2145575,139.3693257,4
80,11012,35.9974408,139.0893968,4
81,11013,36.024632399999994,139.7692596,7
82,11014,35.976907399999995,139.1355565,4
83,11015,36.036356299999994,139.4576883,7
84,11016,36.211088700000005,139.6627834,7
85,11017,35.9967914,139.7947804,7
86,11018,36.188737200000006,139.51077019999997,7
87,11019,36.076958700000006,139.1096496,4
88,11020,36.052482,139.203506,4
89,12001,35.0376773,139.8371306,6
90,12002,35.0341006,139.89484530000001,6
91,12003,35.7584154,140.1067486,1
92,12004,35.127970700000006,139.83710019999998,6
93,12005,35.063801500000004,140.0770891,6
94,12006,35.008738799999996,139.9752655,6
95,12007,35.198557,140.069545,6
96,12008,35.8577705,140.02325390000001,1
97,12009,35.254825,140.258616,6
98,12010,35.7312831,140.47528459999998,1
99,12011,35.4638588,140.109646,6
100,12012,35.805852,140.4699424,1
101,12013,34.9299008,139.9520926,6
102,12014,35.10050820000001,139.8556137,6
103,12015,35.0577165,139.8603645,6
104,12016,35.601795700000004,140.5015935,1
105,12017,35.457307799999995,140.2066599,1
106,12018,35.352183000000004,140.30367990000002,6
107,12019,34.9062489,139.8773874,6
108,12020,34.9398785,139.8216178,6
109,12021,35.896313,140.505908,1
110,12022,35.6950636,140.4100301,1
111,12023,35.042582,140.02057,6
112,12024,35.90023,140.3797,1
113,12025,35.71785572,140.675557,1
114,12026,35.1430213,139.8439449,6
115,12027,35.5772141,140.3836754,1
116,12028,35.359947999999996,140.052479,6
117,12029,35.7488419,139.9194133,1
118,13001,35.68662379999999,139.3414749,9
119,14001,35.1867643,139.01560980000002,9
120,14002,35.37987570000001,139.0314839,9
121,14003,35.4825222,139.2771732,9
122,19001,35.2417855,138.4850509,3
123,19002,35.6359342,138.79271409999998,9
124,19003,35.480152000000004,138.698504,9
125,19004,35.8625522,138.7552499,3
126,19005,35.469985,138.512894,3
127,19006,35.58493970000001,138.54521210000001,3
128,19007,35.748411700000005,138.4385896,3
129,19008,35.503387,138.989848,9
130,19009,35.50434620000001,138.7343049,9
131,19010,35.7544617,138.7183679,3
132,19011,35.8103246,138.3306551,3
133,19012,35.459186100000004,138.8019802,9
134,19013,35.8657383,138.4277858,3
135,19014,35.6380315,138.471159,3
136,19015,35.8789005,138.3167144,3
137,19016,35.418592,138.437249,3
138,19017,35.78926,138.92381899999998,9
139,19018,35.557015,138.472064,3
140,19019,35.75396,138.94994599999998,9
141,19020,35.582917,138.931227,9
142,19021,35.306754999999995,138.44694099999998,3
143,20001,36.585417,138.052742,0
144,20002,36.526393299999995,137.9581356,0
145,20003,36.9884835,138.58167980000002,8
146,20004,36.1063466,137.9881908,0
147,20005,36.3970744,137.8846375,0
148,20006,36.6037997,138.0161699,0
149,20007,36.3347839,138.3595655,11
150,20008,36.65359,137.8473274,0
151,20009,36.8005161,138.322324,8
152,20010,36.2729409,138.2575884,11
153,20011,36.2575102,138.40430680000003,11
154,20012,36.2934956,137.87771999999998,0
155,20013,36.396278,137.867643,0
156,20014,36.1533265,137.75209719999998,0
157,20015,36.7413505,138.40462209999998,8
158,20016,36.407121999999994,138.205586,11
159,20017,35.8632686,138.2769108,3
160,20018,36.8182909,138.1901619,8
161,20019,36.8452608,137.9004404,0
162,20020,36.4263776,138.0121237,0
163,20021,36.605337799999994,137.89556299999998,0
164,20022,36.689122999999995,138.2948649,8
165,20023,36.3557148,138.3738973,11
166,20024,36.881510600000006,138.38776140000002,8
167,20025,36.372865000000004,138.140884,11
168,20026,36.61329979999999,137.9905563,0
169,20027,36.2306352,138.1403249,11
170,20028,36.148281,137.9027543,0
171,20029,36.8521479,138.388223,8
172,20030,36.236692,138.440822,11
173,20031,36.276288,138.331675,11
174,20032,36.424401,137.931402,0
